Sample_ID	Treatment	Sample_type	Condition	Sample_prep	No_control	Low_sample	Seedling_type	sansTemoin_Xcc	Final
gyrB-C11-G1	C11-G	Seed	12 strains	Macerat	Yes	No		Yes	Yes
gyrB-C11-G2	C11-G	Seed	12 strains	Macerat	Yes	No		Yes	Yes
gyrB-C11-G3	C11-G	Seed	12 strains	Macerat	Yes	No		Yes	Yes
gyrB-C11-M1	C11-M	Inoculum	12 strains	Inoculum_post_inoc	Yes	No			
gyrB-C11-M2	C11-M	Inoculum	12 strains	Inoculum_post_inoc	Yes	No			
gyrB-C11-M3	C11-M	Inoculum	12 strains	Inoculum_post_inoc	Yes	No			
gyrB-C111	C11	Inoculum	12 strains	Inoculum_pre_inoc	Yes	No			Yes
gyrB-C112	C11	Inoculum	12 strains	Inoculum_pre_inoc	Yes	No			Yes
gyrB-C113	C11	Inoculum	12 strains	Inoculum_pre_inoc	Yes	No			Yes
gyrB-C5-G1	C5-G	Seed	6 strains	Macerat	Yes	No		Yes	Yes
gyrB-C5-G2	C5-G	Seed	6 strains	Macerat	Yes	No		Yes	Yes
gyrB-C5-G3	C5-G	Seed	6 strains	Macerat	Yes	No		Yes	Yes
gyrB-C5-M1	C5-M	Inoculum	6 strains	Inoculum_post_inoc	Yes	No			
gyrB-C5-M2	C5-M	Inoculum	6 strains	Inoculum_post_inoc	Yes	No			
gyrB-C5-M3	C5-M	Inoculum	6 strains	Inoculum_post_inoc	Yes	No			
gyrB-C51	C5	Inoculum	6 strains	Inoculum_pre_inoc	Yes	No			Yes
gyrB-C52	C5	Inoculum	6 strains	Inoculum_pre_inoc	Yes	No			Yes
gyrB-C53	C5	Inoculum	6 strains	Inoculum_pre_inoc	Yes	No			Yes
gyrB-C7-G1	C7-G	Seed	8 strains	Macerat	Yes	No		Yes	Yes
gyrB-C7-G2	C7-G	Seed	8 strains	Macerat	Yes	No		Yes	Yes
gyrB-C7-G3	C7-G	Seed	8 strains	Macerat	Yes	No		Yes	Yes
gyrB-C7-M1	C7-M	Inoculum	8 strains	Inoculum_post_inoc	Yes	No			
gyrB-C7-M2	C7-M	Inoculum	8 strains	Inoculum_post_inoc	Yes	No			
gyrB-C7-M3	C7-M	Inoculum	8 strains	Inoculum_post_inoc	Yes	No			
gyrB-C71	C7	Inoculum	8 strains	Inoculum_pre_inoc	Yes	No			
gyrB-C72	C7	Inoculum	8 strains	Inoculum_pre_inoc	Yes	No			Yes
gyrB-C73	C7	Inoculum	8 strains	Inoculum_pre_inoc	Yes	No			Yes
gyrB-M1	M	Seed	Control	Macerat	Yes	No			Yes
gyrB-M2	M	Seed	Control	Macerat	Yes	No			Yes
gyrB-M3	M	Seed	Control	Macerat	Yes	No			Yes
gyrB-PC11-10	PC11	Seedling	12 strains	Total	Yes	No	PN	Yes	Yes
