Manip	Condition	Plant	Phenotype	Pop	log_CFU	Type
SynCom	Control	1	Normal			Control
SynCom	Control	2	Normal			Control
SynCom	Control	3	Normal			Control
SynCom	Control	4	Normal			Control
SynCom	Control	5	Abnormal			Control
SynCom	Control	6	Normal			Control
SynCom	Control	7	Non Germinated			Control
SynCom	Control	8	Normal			Control
SynCom	Control	9	Normal			Control
SynCom	Control	10	Normal			Control
SynCom	Control	11	Normal			Control
SynCom	Control	12	Normal			Control
SynCom	Control	13	Normal			Control
SynCom	Control	14	Normal			Control
SynCom	Control	15	Normal			Control
SynCom	6 strains	1	Abnormal	9.00E+06	7	SynCom
SynCom	6 strains	2	Abnormal	1.00E+07	7.1	SynCom
SynCom	6 strains	3	Abnormal	4.00E+05	5.6	SynCom
SynCom	6 strains	4	Abnormal	4.00E+07	7.6	SynCom
SynCom	6 strains	5	Normal	2.00E+07	7.2	SynCom
SynCom	6 strains	6	Abnormal	3.00E+07	7.4	SynCom
SynCom	6 strains	7	Normal	1.00E+07	7	SynCom
SynCom	6 strains	8	Normal	2.00E+07	7.3	SynCom
SynCom	6 strains	9	Normal	1.00E+07	7	SynCom
SynCom	6 strains	10	Abnormal	6.00E+03	3.8	SynCom
SynCom	6 strains	12	Abnormal	3.00E+07	7.5	SynCom
SynCom	6 strains	13	Abnormal	4.00E+07	7.6	SynCom
SynCom	6 strains	14	Abnormal	7.00E+04	4.8	SynCom
SynCom	6 strains	15	Abnormal	1.00E+07	7.2	SynCom
SynCom	6 strains	16	Abnormal	2.00E+07	7.3	SynCom
SynCom	6 strains	17	Abnormal	8.00E+06	6.9	SynCom
SynCom	6 strains	18	Abnormal	2.00E+07	7.3	SynCom
SynCom	6 strains	19	Abnormal	2.00E+07	7.3	SynCom
SynCom	6 strains	20	Abnormal	4.00E+07	7.6	SynCom
SynCom	6 strains	21	Abnormal	2.00E+07	7.3	SynCom
SynCom	6 strains	22	Abnormal	3.00E+07	7.5	SynCom
SynCom	6 strains	23	Abnormal	1.00E+07	7	SynCom
SynCom	6 strains	24	Abnormal	2.00E+07	7.4	SynCom
SynCom	6 strains	25	Abnormal	4.00E+07	7.6	SynCom
SynCom	6 strains	26	Non Germinated			SynCom
SynCom	6 strains	27	Non Germinated			SynCom
SynCom	6 strains	28	Non Germinated			SynCom
SynCom	6 strains	29	Non Germinated			SynCom
SynCom	6 strains	30	Non Germinated			SynCom
SynCom	8 strains	1	Normal	1.00E+07	7.1	SynCom
SynCom	8 strains	2	Normal	3.00E+07	7.5	SynCom
SynCom	8 strains	3	Abnormal	5.00E+07	7.7	SynCom
SynCom	8 strains	4	Abnormal	4.00E+07	7.6	SynCom
SynCom	8 strains	5	Abnormal	9.00E+07	7.9	SynCom
SynCom	8 strains	6	Normal	2.00E+07	7.4	SynCom
SynCom	8 strains	7	Abnormal	2.00E+07	7.4	SynCom
SynCom	8 strains	8	Abnormal	6.00E+07	7.8	SynCom
SynCom	8 strains	9	Abnormal	2.00E+07	7.4	SynCom
SynCom	8 strains	10	Normal	2.00E+07	7.3	SynCom
SynCom	8 strains	11	Abnormal	4.00E+07	7.6	SynCom
SynCom	8 strains	12	Abnormal	5.00E+06	6.7	SynCom
SynCom	8 strains	13	Normal	1.00E+07	7.1	SynCom
SynCom	8 strains	14	Abnormal	5.00E+07	7.7	SynCom
SynCom	8 strains	15	Abnormal	2.00E+06	6.4	SynCom
SynCom	8 strains	16	Abnormal	8.00E+07	7.9	SynCom
SynCom	8 strains	17	Abnormal	7.00E+07	7.9	SynCom
SynCom	8 strains	18	Abnormal	3.00E+07	7.5	SynCom
SynCom	8 strains	19	Abnormal	7.00E+07	7.8	SynCom
SynCom	8 strains	20	Abnormal	4.00E+03	3.6	SynCom
SynCom	8 strains	21	Abnormal	5.00E+07	7.7	SynCom
SynCom	8 strains	22	Abnormal	3.00E+07	7.5	SynCom
SynCom	8 strains	23	Abnormal	3.00E+07	7.5	SynCom
SynCom	8 strains	24	Abnormal	4.00E+07	7.6	SynCom
SynCom	8 strains	25	Non Germinated			SynCom
SynCom	8 strains	26	Non Germinated			SynCom
SynCom	8 strains	27	Non Germinated			SynCom
SynCom	8 strains	28	Non Germinated			SynCom
SynCom	8 strains	29	Non Germinated			SynCom
SynCom	8 strains	30	Non Germinated			SynCom
SynCom	12 strains	1	Abnormal			SynCom
SynCom	12 strains	2	Normal	1.00E+07	7	SynCom
SynCom	12 strains	3	Abnormal	6.00E+07	7.8	SynCom
SynCom	12 strains	4	Abnormal	3.00E+07	7.5	SynCom
SynCom	12 strains	5	Normal	2.00E+08	8.4	SynCom
SynCom	12 strains	6	Abnormal	5.00E+06	6.7	SynCom
SynCom	12 strains	7	Normal	1.00E+07	7.1	SynCom
